repeat,fold,feature,coefficient_per_training_sd
3,1,lweight,0.28959651838
3,1,age,-0.0748550670273
3,1,lbph,0.111070424583
3,1,svi,0.381722426323
3,1,lcp,-0.186334457109
3,1,gleason,0.0864967004355
3,1,pgg45,0.132987996376
3,2,lcavol,0.564728178333
3,2,lweight,0.266589420413
3,2,age,-0.235200183164
3,2,lbph,0.172879348425
3,2,svi,0.353730239579
3,2,lcp,-0.162373046513
3,2,gleason,0.000800669580322
3,2,pgg45,0.193476976055
3,3,lcavol,0.704697900714
3,3,lweight,0.294844066506
3,3,age,-0.110414536561
3,3,lbph,0.131589030761
3,3,svi,0.311516578885
3,3,lcp,-0.182532986396
3,3,gleason,-0.031150194807
3,3,pgg45,0.181003808403
3,4,lcavol,0.671194207689
3,4,lweight,0.243477883679
3,4,age,-0.130003524608
3,4,lbph,0.145371710204
3,4,svi,0.248027636911
3,4,lcp,-0.128363782984
3,4,gleason,0.0420017470639
3,4,pgg45,0.0593001922273
3,5,lcavol,0.68119646988
3,5,lweight,0.229577704681
3,5,age,-0.209472774681
3,5,lbph,0.132918247372
3,5,svi,0.277921489425
3,5,lcp,-0.0989795734218
3,5,gleason,0.058957827034
3,5,pgg45,0.0854928727051
4,1,lcavol,0.662863067437
4,1,lweight,0.277942910641
4,1,age,-0.056041062554
4,1,lbph,0.103713951213
4,1,svi,0.322766025362
4,1,lcp,-0.169170821789
4,1,gleason,0.0990111068635
4,1,pgg45,0.139854791791
4,2,lcavol,0.598686406437
4,2,lweight,0.297223282125
4,2,age,-0.17428660195
4,2,lbph,0.0928616574187
4,2,svi,0.424758336916
4,2,lcp,-0.241818045336
4,2,gleason,0.0960812542238
4,2,pgg45,0.0619828407972
4,3,lcavol,0.714087997831
4,3,lweight,0.289828821849
4,3,age,-0.130844920856
4,3,lbph,0.100793417927
4,3,svi,0.286393622695
4,3,lcp,-0.0971426198132
4,3,gleason,-0.0252135854889
4,3,pgg45,0.107354667079
4,4,lcavol,0.647012224682
4,4,lweight,0.147816201997
4,4,age,-0.226539266136
4,4,lbph,0.25145980597
4,4,svi,0.310510371496
4,4,lcp,-0.204555531391
4,4,gleason,0.0478644392525
4,4,pgg45,0.231939252084
4,5,lcavol,0.686247394047
4,5,lweight,0.270374823167
4,5,age,-0.198279194913
4,5,lbph,0.180837568993
4,5,svi,0.237828962055
4,5,lcp,-0.0237520040008
4,5,gleason,-0.00179358468799
4,5,pgg45,0.0582408166871
5,1,lcavol,0.622606192347
5,1,lweight,0.255269686615
5,1,age,-0.192458966556
5,1,lbph,0.148410963437
5,1,svi,0.322338030322
5,1,lcp,-0.0741459268899
5,1,gleason,-0.00119922207119
5,1,pgg45,0.137521835804
5,2,lcavol,0.660019607173
5,2,lweight,0.218514556389
5,2,age,-0.121063437468
5,2,lbph,0.142702373872
5,2,svi,0.39244133662
5,2,lcp,-0.189503363093
5,2,gleason,0.0618493553497
5,2,pgg45,0.105043820727
5,3,lcavol,0.630466824551
5,3,lweight,0.307914275504
5,3,age,-0.136672047837
5,3,lbph,0.127649160078
5,3,svi,0.330299133755
5,3,lcp,-0.213279939761
5,3,gleason,-0.013532909665
5,3,pgg45,0.194472930159
5,4,lcavol,0.705369762115
5,4,lweight,0.28560757837
5,4,age,-0.116387697379
5,4,lbph,0.0952723423922
5,4,svi,0.281866333665
5,4,lcp,-0.166244127225
5,4,gleason,0.0449044226041
5,4,pgg45,0.125130666453
5,5,lcavol,0.710580005976
5,5,lweight,0.262628590392
5,5,age,-0.212348880275
5,5,lbph,0.179358790927
5,5,svi,0.255801629301
5,5,lcp,-0.123849965278
5,5,gleason,0.0597215709117
5,5,pgg45,0.0766403115382
6,1,lcavol,0.649643148868
6,1,lweight,0.249610716223
6,1,age,-0.0976007897307
6,1,lbph,0.103135661985
6,1,svi,0.320244850952
6,1,lcp,-0.214481112556
6,1,gleason,0.0482741015093
6,1,pgg45,0.180009864698
6,2,lcavol,0.672802131996
6,2,lweight,0.270859593384
6,2,age,-0.131257072041
6,2,lbph,0.173724581307
6,2,svi,0.249464722894
6,2,lcp,-0.08315230135
6,2,gleason,-0.0235394542625
6,2,pgg45,0.167547597295
6,3,lcavol,0.628566030656
6,3,lweight,0.347698526424
6,3,age,-0.164004770567
6,3,lbph,0.0765275446299
6,3,svi,0.316990611538
6,3,lcp,-0.0587722957273
6,3,gleason,0.0632641439386
6,3,pgg45,0.00880840545131
6,4,lcavol,0.689978809329
6,4,lweight,0.285103373955
6,4,age,-0.193286995236
6,4,lbph,0.167091414523
6,4,svi,0.346433635374
6,4,lcp,-0.19280779785
6,4,gleason,0.0957367644687
6,4,pgg45,0.0622383714795
6,5,lcavol,0.683429537498
6,5,lweight,0.188143857942
6,5,age,-0.205229286271
6,5,lbph,0.16839678747
6,5,svi,0.32138151698
6,5,lcp,-0.172027524627
6,5,gleason,0.0306486899122
6,5,pgg45,0.166655575191
7,1,lcavol,0.69614802742
7,1,lweight,0.172645910143
7,1,age,-0.168755873009
7,1,lbph,0.193606911254
7,1,svi,0.306365879647
7,1,lcp,-0.11526399427
7,1,gleason,0.0996011820066
7,1,pgg45,0.0921981669306
7,2,lcavol,0.646257347337
7,2,lweight,0.341250444493
7,2,age,-0.169983095483
7,2,lbph,0.101591291046
7,2,svi,0.256982250848
7,2,lcp,-0.101438568678
7,2,gleason,-0.0202737728635
7,2,pgg45,0.182904022776
7,3,lcavol,0.587637235281
7,3,lweight,0.258053567264
7,3,age,-0.12328426558
7,3,lbph,0.116364567818
7,3,svi,0.329301824571
7,3,lcp,-0.135256859024
7,3,gleason,0.0475048696889
7,3,pgg45,0.103240686698
7,4,lcavol,0.669077814924
7,4,lweight,0.251745799988
7,4,age,-0.213627444815
7,4,lbph,0.179672880801
7,4,svi,0.34870770359
7,4,lcp,-0.157634328528
7,4,gleason,-0.0146979221034
7,4,pgg45,0.176963571827
7,5,lcavol,0.72672117921
7,5,lweight,0.276935516265
7,5,age,-0.11295845227
7,5,lbph,0.107418444839
7,5,svi,0.297845554422
7,5,lcp,-0.202949338661
7,5,gleason,0.0356124349677
7,5,pgg45,0.0955975894526
8,1,lcavol,0.543814031519
8,1,lweight,0.312466850665
8,1,age,-0.0632939616716
8,1,lbph,0.0752275249045
8,1,svi,0.284696356853
8,1,lcp,-0.294609612025
8,1,gleason,-0.0620039723677
8,1,pgg45,0.320768609472
8,2,lcavol,0.573654115078
8,2,lweight,0.308216616704
8,2,age,-0.161076536179
8,2,lbph,0.144483128994
8,2,svi,0.405268696453
8,2,lcp,-0.1081745816
8,2,gleason,0.133628687417
8,2,pgg45,0.0155306088391
8,3,lcavol,0.698495578281
8,3,lweight,0.241273481222
8,3,age,-0.148733904065
8,3,lbph,0.130933894813
8,3,svi,0.267900113447
8,3,lcp,-0.0823782440624
8,3,gleason,-0.00027202107272
8,3,pgg45,0.0922559076992
8,4,lcavol,0.783652286159
8,4,lweight,0.161264621234
8,4,age,-0.171641448054
8,4,lbph,0.191208554829
8,4,svi,0.33504181121
8,4,lcp,-0.19762030471
8,4,gleason,0.0622944069319
8,4,pgg45,0.152104879369
8,5,lcavol,0.706323045366
8,5,lweight,0.288067010066
8,5,age,-0.212952295088
8,5,lbph,0.169766317538
8,5,svi,0.23947188354
8,5,lcp,-0.0734178051305
8,5,gleason,0.000450760937724
8,5,pgg45,0.109026759923
9,1,lcavol,0.63956200843
9,1,lweight,0.269652246948
9,1,age,-0.211761208365
9,1,lbph,0.167946450161
9,1,svi,0.336143979053
9,1,lcp,-0.168045990347
9,1,gleason,0.0516608734586
9,1,pgg45,0.115536467628
9,2,lcavol,0.768197148929
9,2,lweight,0.138701964915
9,2,age,-0.209797991179
9,2,lbph,0.262317492656
9,2,svi,0.280709158512
9,2,lcp,-0.173127106355
9,2,gleason,-0.0117894964256
9,2,pgg45,0.216359313677
9,3,lcavol,0.677265062726
9,3,lweight,0.252153100138
9,3,age,-0.149237518339
9,3,lbph,0.11816402652
9,3,svi,0.318177351122
9,3,lcp,-0.172609685319
9,3,gleason,-0.00923673891042
9,3,pgg45,0.139622120552
9,4,lcavol,0.573209307917
9,4,lweight,0.294795116133
9,4,age,-0.12423196186
9,4,lbph,0.0588535674637
9,4,svi,0.214182769415
9,4,lcp,-0.0213621010391
9,4,gleason,0.102677320254
9,4,pgg45,0.0038311207631
9,5,lcavol,0.637209038314
9,5,lweight,0.3411646638
9,5,age,-0.105283284511
9,5,lbph,0.106837159974
9,5,svi,0.407721332333
9,5,lcp,-0.174894479761
9,5,gleason,0.048377652222
9,5,pgg45,0.157174774389
10,1,lcavol,0.674792427855
10,1,lweight,0.288647161239
10,1,age,-0.105638654183
10,1,lbph,0.113289138197
10,1,svi,0.337258490977
10,1,lcp,-0.270275930986
10,1,gleason,0.0189628574792
10,1,pgg45,0.203290137829
10,2,lcavol,0.695407143865
10,2,lweight,0.313399219135
10,2,age,-0.209629336058
10,2,lbph,0.0872554170968
10,2,svi,0.286845819616
10,2,lcp,-0.105792357965
10,2,gleason,0.0159313002021
10,2,pgg45,0.118230808256
10,3,lcavol,0.658029971647
10,3,lweight,0.213298428737
10,3,age,-0.152605111137
10,3,lbph,0.175559252071
10,3,svi,0.308269423585
10,3,lcp,-0.089015428836
10,3,gleason,0.112805318789
10,3,pgg45,0.0498899449084
10,4,lcavol,0.651111663237
10,4,lweight,0.327120611959
10,4,age,-0.120697525138
10,4,lbph,0.129220438477
10,4,svi,0.345410564455
10,4,lcp,-0.0526631190778
10,4,gleason,-0.0473316551106
10,4,pgg45,0.115148926689
10,5,lcavol,0.611850944639
10,5,lweight,0.199443625413
10,5,age,-0.169969220417
10,5,lbph,0.183794480223
10,5,svi,0.286855358808
10,5,lcp,-0.206480244947
10,5,gleason,0.0712552364654
10,5,pgg45,0.126042367816
